File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2000049000000_aid0001,_250m_16_days_NDVI,aid0001,2000-02-18,7479666.0,-0.2,0.9996,"(-0.2,0.9996)",0.4017032,0.300668,0.0904012,0.721,0.9996,0.3113,-0.2,0.1138
MOD13Q1_061__250m_16_days_NDVI_doy2000065000000_aid0001,_250m_16_days_NDVI,aid0001,2000-03-05,7478788.0,-0.2,0.9996,"(-0.2,0.9996)",0.409541,0.3069122,0.0941951,0.7466,0.9996,0.3113,-0.2,0.1175
MOD13Q1_061__250m_16_days_NDVI_doy2000081000000_aid0001,_250m_16_days_NDVI,aid0001,2000-03-21,7477739.0,-0.2,0.9994,"(-0.2,0.9994)",0.4288418,0.3081527,0.0949581,0.7424,0.9994,0.3814,-0.2,0.1211
MOD13Q1_061__250m_16_days_NDVI_doy2000097000000_aid0001,_250m_16_days_NDVI,aid0001,2000-04-06,7475859.0,-0.2,0.9994,"(-0.2,0.9994)",0.443,0.3162426,0.1000094,0.7503,0.9994,0.4465,-0.2,0.1184
MOD13Q1_061__250m_16_days_NDVI_doy2000113000000_aid0001,_250m_16_days_NDVI,aid0001,2000-04-22,7476674.0,-0.2,0.9993,"(-0.2,0.9993)",0.4376109,0.3068658,0.0941666,0.7253,0.9993,0.481,-0.2,0.1198
MOD13Q1_061__250m_16_days_NDVI_doy2000129000000_aid0001,_250m_16_days_NDVI,aid0001,2000-05-08,7477411.0,-0.2,0.9993,"(-0.2,0.9993)",0.4097648,0.2953818,0.0872504,0.6978,0.9993,0.4015,-0.2,0.1119
MOD13Q1_061__250m_16_days_NDVI_doy2000145000000_aid0001,_250m_16_days_NDVI,aid0001,2000-05-24,7477615.0,-0.2,0.9989,"(-0.2,0.9989)",0.396516,0.2904432,0.0843573,0.6707,0.9989,0.3717,-0.2,0.1096
MOD13Q1_061__250m_16_days_NDVI_doy2000161000000_aid0001,_250m_16_days_NDVI,aid0001,2000-06-09,7478901.0,-0.2,0.9981,"(-0.2,0.9981)",0.3799578,0.2800156,0.0784087,0.6318,0.9981,0.3493,-0.2,0.1088
MOD13Q1_061__250m_16_days_NDVI_doy2000177000000_aid0001,_250m_16_days_NDVI,aid0001,2000-06-25,7475775.0,-0.2,0.9953,"(-0.2,0.9953)",0.3567073,0.2621489,0.0687221,0.589,0.9953,0.3191,-0.2,0.1064
MOD13Q1_061__250m_16_days_NDVI_doy2000193000000_aid0001,_250m_16_days_NDVI,aid0001,2000-07-11,7477087.0,-0.2,0.9872,"(-0.2,0.9872)",0.324763,0.2371441,0.0562373,0.5214,0.9872,0.2894,-0.2,0.1026
