Departamento_id,Cultivo,Rinde(qq/Ha)
6007,girasol,17.9996
6007,maíz,46.202
6007,soja 1ra,20.6296
6007,soja 2da,16.923636363636362
6007,trigo total,24.3196
6014,girasol,15.577916666666667
6014,maíz,48.02166666666667
6014,soja 1ra,18.0852
6014,soja 2da,10.17
6014,trigo total,32.724000000000004
6021,girasol,24.82318181818182
6021,maíz,78.6524
6021,soja 1ra,33.8628
6021,soja 2da,21.76
6021,trigo total,37.426
6042,girasol,20.3304
6042,maíz,60.3216
6042,soja 1ra,23.5068
6042,soja 2da,13.34590909090909
6042,trigo total,36.626799999999996
6049,girasol,20.3876
6049,maíz,59.3784
6049,soja 1ra,24.3064
6049,soja 2da,13.574545454545454
6049,trigo total,39.1084
6063,girasol,21.3704
6063,maíz,62.7808
6063,soja 1ra,25.273200000000003
6063,soja 2da,14.495454545454544
6063,trigo total,41.580799999999996
6070,girasol,23.758181818181814
6070,maíz,75.358
6070,soja 1ra,33.8704
6070,soja 2da,20.1684
6070,trigo total,35.132
6077,girasol,25.45
6077,maíz,78.3052
6077,soja 1ra,34.8212
6077,soja 2da,21.316799999999997
6077,trigo total,36.5916
6084,girasol,19.596400000000003
6084,maíz,55.7136
6084,soja 1ra,22.3644
6084,soja 2da,12.839090909090908
6084,trigo total,37.2884
6105,girasol,21.9548
6105,maíz,69.244
6105,soja 1ra,28.034000000000002
6105,soja 2da,17.3072
6105,trigo total,33.1712
6112,girasol,25.444000000000003
6112,maíz,77.6116
6112,soja 1ra,33.9632
6112,soja 2da,20.3716
6112,trigo total,37.626799999999996
6147,girasol,25.275199999999998
6147,maíz,77.13159999999999
6147,soja 1ra,31.394000000000002
6147,soja 2da,23.6516
6147,trigo total,34.414
6154,girasol,23.6428
6154,maíz,73.4364
6154,soja 1ra,29.1596
6154,soja 2da,21.6896
6154,trigo total,31.7484
6161,girasol,23.318695652173915
6161,maíz,79.3668
6161,soja 1ra,35.2244
6161,soja 2da,23.257199999999997
6161,trigo total,37.5212
6175,girasol,26.798823529411763
6175,maíz,87.2616
6175,soja 1ra,38.919200000000004
6175,soja 2da,23.029600000000002
6175,trigo total,39.5904
6189,girasol,13.702
6189,maíz,44.23833333333334
6189,soja 1ra,15.5172
