lote_id,lat,lon,cultivo,fecha_siembra,rinde_real_qqha
1,-33.87193,-63.583186,maíz,2025-10-03,130.7
2,-33.892732,-63.541862,maíz,2025-12-29,80.1
3,-34.125969,-62.610044,maíz,2025-12-15,115.0
4,-34.431502,-63.296866,maní,2025-11-05,65.95
5,-34.181961,-63.3952,maíz,2025-12-16,121.9
6,-34.166402,-63.274649,maíz,2025-12-18,112.4
7,-34.200154,-63.362332,maíz,2025-12-06,121.0
8,-34.228023,-61.680974,maíz,2025-11-15,154.0
9,-34.25672,-61.732992,maíz,2025-10-15,111.0
10,-34.386852,-63.307713,maní,2025-10-21,87.62
11,-33.868844,-61.54408,maíz,2025-09-26,175.0
12,-34.052336,-61.986051,soja 2da,2025-12-29,38.0
13,-34.628363,-63.618171,soja 1ra,2025-11-24,49.37
14,-34.27817,-61.53639,maní,2025-10-28,64.48
15,-34.183229,-62.818104,maíz,2025-11-11,112.0
