departamento_id,departamento,zona_pas,metodo,n_zonas_candidatas_originales
06315,General Juan Madariaga,Cuenca Sal,desempate_por_distancia,2
74042,Gobernador Dupuy,SL,desempate_por_distancia,2
06196,Coronel Pringles,Ctro BA,0_candidatas,0
66007,Anta,NOA,match_unico,1
82070,Las Colonias,Núcleo Norte,match_unico,1
82112,San Justo,Núcleo Norte,match_unico,1
82091,San Cristóbal,Centro N Sta Fe,0_candidatas,0
42133,Realicó,N LP-O BA,desempate_por_distancia,2
66140,Rosario de la Frontera,NOA,match_unico,1
10098,Santa Rosa,NOA,match_unico,1
14112,Río Seco,Centro N Cba,match_unico,1
86042,Belgrano,Centro N Cba,match_unico,1
86007,Aguirre,Centro N Cba,match_unico,1
30077,Nogoyá,Núcleo Norte,match_unico,1
30091,Tala,Ctro E ER,desempate_por_distancia,2
30049,Gualeguay,Núcleo Sur,desempate_por_distancia,2
30070,La Paz,Núcleo Norte,match_unico,1
06413,Junín,Núcleo Sur,desempate_por_distancia,2
06224,Chivilcoy,Núcleo Sur,desempate_por_distancia,2
06021,Alberti,Ctro BA,desempate_por_distancia,2
06112,Bragado,Ctro BA,desempate_por_distancia,2
06854,25 de Mayo,Ctro BA,match_unico,1
06588,9 de Julio,Ctro BA,desempate_por_distancia,2
06609,Pehuajó,Ctro BA,match_unico,1
06007,Adolfo Alsina,N LP-O BA,desempate_por_distancia,2
06077,Arrecifes,Núcleo Sur,match_unico,1
06714,Salto,Núcleo Sur,match_unico,1
06728,San Andrés de Giles,Núcleo Sur,match_unico,1
06210,Chacabuco,Núcleo Sur,desempate_por_distancia,2
06042,Ayacucho,Cuenca Sal,desempate_por_distancia,2
06399,Guaminí,Ctro BA,match_unico,1
42021,Capital,N LP-O BA,match_unico,1
06574,Navarro,Ctro BA,desempate_por_distancia,2
06483,Lobos,Ctro BA,desempate_por_distancia,2
06322,General La Madrid,Ctro BA,match_unico,1
06105,Bolívar,Ctro BA,match_unico,1
06049,Azul,Ctro BA,desempate_por_distancia,2
