departamento_id,filas,fecha_min,fecha_max,fill_residual,fechas_faltantes,nan_maximo_por_param,ok
06007,9741,2000-01-01,2026-09-01,0,0,7,False
06014,9741,2000-01-01,2026-09-01,0,0,7,False
06021,9741,2000-01-01,2026-09-01,0,0,6,False
06042,9741,2000-01-01,2026-09-01,0,0,7,False
06049,9741,2000-01-01,2026-09-01,0,0,6,False
06063,9742,2000-01-01,2026-09-02,0,0,7,False
06070,9742,2000-01-01,2026-09-02,0,0,6,False
06077,9741,2000-01-01,2026-09-01,0,0,6,False
06084,9742,2000-01-01,2026-09-02,0,0,7,False
06105,9741,2000-01-01,2026-09-01,0,0,6,False
06112,9741,2000-01-01,2026-09-01,0,0,6,False
06147,9742,2000-01-01,2026-09-02,0,0,6,False
06154,9742,2000-01-01,2026-09-02,0,0,6,False
06161,9742,2000-01-01,2026-09-02,0,0,6,False
06175,9742,2000-01-01,2026-09-02,0,0,6,False
06189,9741,2000-01-01,2026-09-01,0,0,7,False
06196,9740,2000-01-01,2026-08-31,0,0,7,False
06203,9741,2000-01-01,2026-09-01,0,0,7,False
06210,9741,2000-01-01,2026-09-01,0,0,6,False
06218,9741,2000-01-01,2026-09-01,0,0,6,False
06224,9740,2000-01-01,2026-08-31,0,0,6,False
06231,9741,2000-01-01,2026-09-01,0,0,6,False
06277,9742,2000-01-01,2026-09-02,0,0,6,False
06280,9741,2000-01-01,2026-09-01,0,0,7,False
06294,9741,2000-01-01,2026-09-01,0,0,6,False
06301,9742,2000-01-01,2026-09-02,0,0,6,False
06315,9740,2000-01-01,2026-08-31,0,0,7,False
06322,9741,2000-01-01,2026-09-01,0,0,7,False
06351,9741,2000-01-01,2026-09-01,0,0,6,False
06357,9741,2000-01-01,2026-09-01,0,0,7,False
06385,9742,2000-01-01,2026-09-02,0,0,6,False
06392,9742,2000-01-01,2026-09-02,0,0,6,False
06399,9741,2000-01-01,2026-09-01,0,0,6,False
06406,9742,2000-01-01,2026-09-02,0,0,6,False
06413,9740,2000-01-01,2026-08-31,0,0,6,False
06455,9741,2000-01-01,2026-09-01,0,0,6,False
06462,9742,2000-01-01,2026-09-02,0,0,6,False
06469,9742,2000-01-01,2026-09-02,0,0,6,False
06476,9741,2000-01-01,2026-09-01,0,0,372,False
06483,9741,2000-01-01,2026-09-01,0,0,6,False
06518,9741,2000-01-01,2026-09-01,0,0,7,False
06547,9742,2000-01-01,2026-09-02,0,0,6,False
06574,9741,2000-01-01,2026-09-01,0,0,6,False
06581,9741,2000-01-01,2026-09-01,0,0,7,False
06588,9741,2000-01-01,2026-09-01,0,0,6,False
06595,9742,2000-01-01,2026-09-02,0,0,6,False
06602,9742,2000-01-01,2026-09-02,0,0,7,False
06609,9741,2000-01-01,2026-09-01,0,0,6,False
06616,9742,2000-01-01,2026-09-02,0,0,7,False
06623,9742,2000-01-01,2026-09-02,0,0,6,False
06651,9742,2000-01-01,2026-09-02,0,0,8,False
06665,9741,2000-01-01,2026-09-01,0,0,6,False
06679,9742,2000-01-01,2026-09-02,0,0,6,False
06686,9741,2000-01-01,2026-09-01,0,0,6,False
06693,9742,2000-01-01,2026-09-02,0,0,6,False
06700,9741,2000-01-01,2026-09-01,0,0,6,False
06707,9741,2000-01-01,2026-09-01,0,0,6,False
06714,9741,2000-01-01,2026-09-01,0,0,6,False
06721,9741,2000-01-01,2026-09-01,0,0,7,False
06728,9741,2000-01-01,2026-09-01,0,0,6,False
06735,9741,2000-01-01,2026-09-01,0,0,6,False
06742,9741,2000-01-01,2026-09-01,0,0,7,False
06770,9742,2000-01-01,2026-09-02,0,0,6,False
06791,9741,2000-01-01,2026-09-01,0,0,7,False
06826,9742,2000-01-01,2026-09-02,0,0,6,False
06833,9741,2000-01-01,2026-09-01,0,0,7,False
06847,9742,2000-01-01,2026-09-02,0,0,6,False
06854,9741,2000-01-01,2026-09-01,0,0,6,False
10098,9740,2000-01-01,2026-08-31,0,0,6,False
14007,9742,2000-01-01,2026-09-02,0,0,7,False
14021,9741,2000-01-01,2026-09-01,0,0,6,False
14035,9741,2000-01-01,2026-09-01,0,0,7,False
14042,9742,2000-01-01,2026-09-02,0,0,6,False
